City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Alghero,IT,40.5589,8.3181,84.29,70,0,6.91,clear sky
80,Duldurga,RU,50.6761,113.5931,65.71,58,40,2.3,scattered clouds
81,Dingle,PH,10.9995,122.6711,76.46,91,100,0.2,moderate rain
82,Evensk,RU,61.95,159.2333,48.18,91,28,3.51,scattered clouds
83,Naze,JP,28.3667,129.4833,77.92,90,79,11.92,broken clouds
84,Verkhoyansk,RU,67.5447,133.385,38.46,92,100,2.06,overcast clouds
85,Sambava,MG,-14.2667,50.1667,69.73,77,41,14.74,light rain
86,Yumen,CN,40.2833,97.2,78.22,24,20,8.3,few clouds
87,Sibenik,HR,43.7272,15.9058,84.38,48,2,1.01,clear sky
88,Egvekinot,RU,66.3167,-179.1667,36.19,99,100,5.46,light rain
89,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,94,5.99,overcast clouds
90,Atuona,PF,-9.8,-139.0333,77.99,70,2,21.34,clear sky
91,Dikson,RU,73.5069,80.5464,32.18,91,98,21.47,overcast clouds
92,Ushuaia,AR,-54.8,-68.3,40.66,70,20,0.0,few clouds
93,Hovd,MN,48.0056,91.6419,75.65,31,78,6.71,broken clouds
94,Dillon,US,34.4166,-79.3712,86.34,36,87,6.26,overcast clouds
95,Upernavik,GL,72.7868,-56.1549,38.8,86,14,2.98,few clouds
96,Lucapa,AO,-8.4192,20.7447,70.81,33,0,3.85,clear sky
97,Bengkulu,ID,-3.8004,102.2655,74.3,93,93,3.76,overcast clouds
98,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,70.77,78,100,6.91,light rain
99,Almaznyy,RU,48.0448,40.045,69.76,53,94,9.69,overcast clouds
100,Kavieng,PG,-2.5744,150.7967,82.13,76,99,14.56,overcast clouds
101,San Vicente,AR,-26.6167,-54.1333,72.05,57,92,5.77,overcast clouds
102,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,53,40,6.91,scattered clouds
103,Tirur,IN,10.9,75.9167,74.39,89,100,6.15,overcast clouds
104,Shouguang,CN,36.88,118.7375,75.92,91,100,3.56,overcast clouds
105,Russell,US,32.3502,-85.1999,94.37,40,0,6.91,clear sky
106,Bosaso,SO,11.2842,49.1816,96.15,35,100,21.47,overcast clouds
107,Iqaluit,CA,63.7506,-68.5145,56.93,44,40,11.5,scattered clouds
108,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,40,12.66,light rain
109,Mount Gambier,AU,-37.8333,140.7667,42.06,91,100,6.4,overcast clouds
110,Shimoda,JP,34.6667,138.95,75.67,94,58,11.9,broken clouds
111,Hasaki,JP,35.7333,140.8333,73.8,92,39,4.7,scattered clouds
112,Semirom,IR,31.4167,51.5667,69.21,16,2,3.87,clear sky
113,Keene,US,42.9337,-72.2781,78.4,89,100,6.91,overcast clouds
114,Arlit,NE,18.7369,7.3853,99.77,16,70,2.33,broken clouds
115,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,89,14.05,overcast clouds
116,Margate,GB,51.3813,1.3862,64.31,72,28,1.01,scattered clouds
117,Tautira,PF,-17.7333,-149.15,78.26,78,15,19.3,light rain
118,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.12,79,30,16.87,scattered clouds
