City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Suclayin,PH,75.6,overcast clouds,15.7568,121.5503,Costa Pacifica
236,Perbaungan,ID,82.51,broken clouds,3.5679,98.956,Bendang Lama
239,Along,IN,75.99,moderate rain,28.1667,94.7667,Hotel West
241,Russell,US,76.37,clear sky,32.3502,-85.1999,Macs
242,Funadhoo,MV,83.19,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
243,Vanimo,PG,78.13,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
246,Axim,GH,80.31,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
250,Jining,CN,77.76,overcast clouds,35.405,116.5814,Yunhe Star Hotel
251,Sulangan,PH,82.78,moderate rain,11.1373,123.7228,Maia's Beach Resort
253,Lorengau,PG,80.94,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
261,Dergachi,RU,77.38,clear sky,51.2328,48.7659,
263,Siocon,PH,79.34,overcast clouds,7.7061,122.1353,ABS Hotel
268,Vaitape,PF,80.01,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
269,Banda Aceh,ID,80.22,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
270,Dong Hoi,VN,86.76,scattered clouds,17.4833,106.6,Nam Long Hotel
272,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
273,Kudahuvadhoo,MV,83.91,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
276,Chabahar,IR,84.7,overcast clouds,25.2919,60.643,هتل گدروشیا
289,Hasaki,JP,81.0,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
291,Summerville,US,77.79,clear sky,33.0185,-80.1757,Sleep Inn Summerville-Charleston
297,Trincomalee,LK,89.71,broken clouds,8.5711,81.2335,Welcombe Hotel
298,Buala,SB,79.81,light rain,-8.145,159.5921,Maringe Lagoon Lodge
301,Cartagena,CO,76.62,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
308,Bonthe,SL,83.86,light rain,7.5264,-12.505,Bonthe Holiday Village
309,Muroto,JP,78.22,broken clouds,33.2833,134.15,Oota Ryokan
311,Esperanza,DO,77.31,broken clouds,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
316,Bengkulu,ID,79.75,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
320,Mayo,US,76.17,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
322,Puerto Escondido,MX,78.26,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
324,Ocos,GT,75.67,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
330,Maragogi,BR,78.28,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
331,Lonar,IN,83.14,overcast clouds,19.9833,76.5333,Hotel Jai Bhawani
332,Bassar,TG,84.29,light rain,9.25,0.7833,Hôtel KYRIAD
333,Banjarmasin,ID,78.94,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
